4000001, 3086
4000002, 3092
4000003, 3084, 3082
4000004, 3088, 3090
4000005, 4182, 4184
5000006, 3064
5000007, 3064
5000008, 3138
5000009, 3138
6000010, 4154
6000011, 4152
7000012, 3138
7000013, 3064
8000014, 304
9000015, 305
7000016, 3063a
7000017, 3063b
4000018, 3071, 3073
4000019, 3087, 3089
4000020, 3075, 3077
4000021, 3079, 3081
4000022, 3083, 3085a
4000023, 3083, 3085b
4000024, 4183
5000025, 3063
5000026, 3037
7000027, 3137a
7000028, 3137b
6000029, 4153
6000030, 4151
10000031, 2114
10000032, 2116
10000033, 4193
10000034, 4191
11000035, 4147
11000036, 4148
11000037, 4146
11000038, 4146
12000039, 4141
12000040, 303
12000041, 4139
13000042, 3061
12000043, 4140a
12000044, 4140b
12000045, 4142
13000046, 3062
14000047, 3056a
14000048, 3056b
14000049, 3047
15000050, 3034a
15000051, 3034b
15000052, 3044a
15000053, 3038a
15000054, 3038b
15000055, 3044
13000056, 3020
15000057, 3036a
15000058, 3036b
15000059, 3046
15000060, 3046a
13000061, 3014
13000062, 3045
13000063, 3043
15000064, 3038a
15000064, 3039a
15000065, 3039b
15000066, 3029a
15000067, 3029b
15000068, 3031a
15000069, 3031b
15000070, 3033a
15000071, 3033b
15000072, 3041a
15000073, 3041b
16000074, 6060
17000075, nan 
18000076, 168
19000077, 138
20000078, 108
21000079, 78
22000080, 48
23000081, 18
18000082, 148a
19000083, 118a
20000084, 88a
21000085, 58a
22000086, 28a
23000087, 1a
24000088, 3021
25000089, 3011
25000090, 3013
26000091, 3023
27000092, 6052
27000093, 6053
27000094, 6054
26000095, 3030
25000096, 3016
25000097, 3018
24000098, 3026
28000099, 4122a
28000100, 4122b
28000101, 4124a
28000102, 4124b
28000103, 4124c
28000104, 4126a
28000105, 4126b
28000106, 4126c
28000107, 4128a
28000108, 4128b
28000109, 4136a
28000110, 4136b
28000111, 4134a
28000112, 4134b
28000113, 4132a
28000114, 4132b
28000115, 4130
28000116, 4127a
28000117, 4127b
28000118, 4125a
28000119, 4125b
28000120, 4125c
28000121, 4123a
28000122, 4123b
28000123, 4123c
28000124, 4121a
28000125, 4121b
28000126, 4135a
28000127, 4135b
28000128, 4135c
28000129, 4133a
28000130, 4133b
28000131, 4131a
28000132, 4131b
28000133, 4129a
28000134, 4129b
